dataset,algorithm,delta_multiplier,patch_option,mean_catch,mean_iter_catch,mean_corr_stat,mean_corr_pval
cifar,simec,1.0,all,0.0,nan (nan),0.097 (0.618),0.108 (0.236)
cifar,simec,1.0,one,0.0,nan (nan),nan (nan),nan (nan)
cifar,simec,1.0,q2,0.0,nan (nan),0.048 (0.701),0.059 (0.172)
cifar,simec,10.0,all,0.0,nan (nan),0.002 (0.660),0.104 (0.266)
cifar,simec,10.0,one,0.0,nan (nan),nan (nan),nan (nan)
cifar,simec,10.0,q2,0.0,nan (nan),-0.079 (0.736),0.023 (0.099)
cifar,simexp,1.0,all,0.0,nan (nan),0.655 (0.497),0.057 (0.189)
cifar,simexp,1.0,one,0.0,nan (nan),0.221 (0.223),0.125 (0.176)
cifar,simexp,1.0,q2,0.1,73.333 (12.472),0.517 (0.538),0.025 (0.099)
cifar,simexp,10.0,all,0.167,28.000 (36.551),0.537 (0.442),0.042 (0.142)
cifar,simexp,10.0,one,0.0,nan (nan),-0.450 (0.090),0.000 (0.000)
cifar,simexp,10.0,q2,0.3,142.222 (198.370),0.455 (0.462),0.069 (0.167)
hatespeech,simec,1.0,all,0.0,nan (nan),-0.119 (0.331),0.277 (0.397)
hatespeech,simec,1.0,one,0.0,nan (nan),nan (nan),nan (nan)
hatespeech,simec,1.0,q2,0.0,nan (nan),-0.025 (0.500),0.255 (0.358)
hatespeech,simec,10.0,all,0.0,nan (nan),0.100 (0.397),0.184 (0.302)
hatespeech,simec,10.0,one,0.0,nan (nan),-0.051 (0.000),0.611 (0.000)
hatespeech,simec,10.0,q2,0.0,nan (nan),0.194 (0.254),0.151 (0.212)
hatespeech,simexp,1.0,all,0.051,735.000 (5.000),-0.083 (0.328),0.181 (0.285)
hatespeech,simexp,1.0,one,0.0,nan (nan),nan (nan),nan (nan)
hatespeech,simexp,1.0,q2,0.026,500.000 (0.000),-0.006 (0.379),0.122 (0.245)
hatespeech,simexp,10.0,all,0.718,302.464 (251.418),0.047 (0.327),0.156 (0.286)
hatespeech,simexp,10.0,one,0.077,256.667 (61.824),0.126 (0.408),0.030 (0.145)
hatespeech,simexp,10.0,q2,0.436,490.588 (195.883),-0.036 (0.329),0.132 (0.231)
mnist,simec,1.0,all,0.0,nan (nan),0.097 (0.583),0.026 (0.073)
mnist,simec,1.0,one,0.0,nan (nan),nan (nan),nan (nan)
mnist,simec,1.0,q2,0.0,nan (nan),-0.393 (0.531),0.027 (0.065)
mnist,simec,10.0,all,0.0,nan (nan),0.113 (0.562),0.068 (0.160)
mnist,simec,10.0,one,0.0,nan (nan),nan (nan),nan (nan)
mnist,simec,10.0,q2,0.0,nan (nan),-0.034 (0.624),0.027 (0.074)
mnist,simexp,1.0,all,0.0,nan (nan),0.552 (0.557),0.044 (0.178)
mnist,simexp,1.0,one,0.0,nan (nan),nan (nan),nan (nan)
mnist,simexp,1.0,q2,0.0,nan (nan),0.834 (0.310),0.000 (0.000)
mnist,simexp,10.0,all,0.0,nan (nan),0.497 (0.497),0.062 (0.174)
mnist,simexp,10.0,one,0.0,nan (nan),0.870 (0.018),0.000 (0.000)
mnist,simexp,10.0,q2,0.033,70.000 (0.000),0.391 (0.443),0.123 (0.260)
winobias,simec,1.0,target-word,0.0,nan (nan),nan (nan),nan (nan)
winobias,simec,10.0,target-word,0.0,nan (nan),nan (nan),nan (nan)
winobias,simexp,1.0,target-word,0.0,nan (nan),nan (nan),nan (nan)
winobias,simexp,10.0,target-word,0.125,90.000 (102.470),0.242 (0.449),0.032 (0.129)
